word,count
"leaves",38
"ground",3
"#swfl15",1
"reserves",1
"grand",1
"final",1
"bleeding",1
"mouth.",2
"spoke",4
"field",5
"aftermath.",1
"county",29
"pointed",23
"finger",14
"them,",16
"fake",20
"gun
http://t.co/gvkist…",13
"news",23
"boko",29
"haram",29
"invades",28
"dss",29
"office,",31
"kidnappers",28
"attack",50
"http://t.co/olyjpdxz23",1
"teamcrazzy",1
"ho...",1
"http://t.co/ebv24elxia",1
"lives",35
"matter",8
"f***",1
"yo",7
"flag",4
"activist",3
"video",55
"threats",2
"kill",37
"white",43
"people,",1
"youtube",2
"war",12
"#media",1
"#film",2
"http://t.co/u7abj8vziu",1
"#massachusetts",1
"#connecticut",2
"#rhodeisland",1
"#florida",21
"driving",13
"chowpatty",8
"dadar",8
"realises",8
"awesome",9
"work",29
"ensure",9
"#anantchaturdeshi",8
"smooth!",8
"big",14
"sal…",8
"taunton",1
"heroin",2
"overdoses",1
"2015",19
"list",2
"150",3
"http://t.co/lgalec5b3o",1
"#tauntonma",1
"#صباح_الخير",1
"sharjah",1
"services",26
"https://t.co/uykk91lgtl",1
"freaking",7
"shaking.",7
"please!!",7
"girl😥",7
"lebanon",7
"oregon",7
"area😓",7
"http://t.co/zckev29mfn",7
"50",15
"porn",1
"raids",2
"http://t.co/enc1rpc4cz",1
"homicide",7
"investigation",62
"underway",3
"wayne",4
"investigating",22
"neighbors",7
"man's",4
"http://t.co/vgdqycnw0b",1
"http://t.co/ruywhvkvu6",14
"police=gchq",1
"program",9
"""record",1
"website",1
"browsing",2
"habits",1
"'every",8
"internet.'""",1
"https://t.co/btu4l…",1
"confirm",14
"this?",12
"hmm.",1
"seek",10
"^ew",1
"japan",4
"strip",4
"boxers",4
"side",28
"road.",4
"drug",15
"dealer",5
"tatt…",4
"stiff",17
"penalty",29
"#lie!",17
"#policelies",17
"#killercops",17
"http://t.co/4pcmec2iws",17
"http://t.co/rv7…",17
"http://t.co/1gcqztshqq",1
"israeli",111
"security",85
"forces",44
"enter",37
"efforts",38
"jewish",35
"activists",26
"http://t.co/npwxfk5xtg",1
"detains",5
"46",6
"suspects",12
"operations",5
"lahore,",5
"faisalabad",6
"http://t.co/2lnlmh06iu",1
"lie",9
"shield",5
